RPS9	NM_001013
RPS8	NM_001012
RPS7	NM_001011
RPS3A	NM_001267699
RPS3A	NM_001006
RPS27	NM_001030
RPS24	NM_001142284
RPS24	NM_001142283
RPS24	NM_033022
RPS24	NM_001142282
RPS24	NM_001026
RPS24	NM_001142285
RPS19	NM_001022
RPS13	NM_001017
RPS11	NM_001015
RPLP1	NM_001003
RPLP1	NM_213725
RPL9	NM_000661
RPL9	NM_001024921
RPL6	NM_001024662
RPL6	NM_000970
RPL5	NM_000969
RPL36	NM_015414
RPL36	NM_033643
RPL35A	NM_000996
RPL34	NM_033625
RPL34	NM_000995
RPL30	NM_000989
RPL3	NM_001033853
RPL3	NM_000967
RPL27	NM_000988
RPL19	NM_000981
RPL18A	NM_000980
RPL11	NM_000975
RPL11	NM_001199802
PSMD7	NM_002811
PSMD6	NM_014814
PSMD6	NM_001271779
PSMD6	NM_001271781
PSMD6	NM_001271780
PSMD11	NM_002815
PSMD11	NM_001270482
PSMD1	NR_034059
PSMD1	NM_002807
PSMD1	NM_001191037
PSMC4	NM_153001
PSMC4	NM_006503
PSMC2	NM_001204453
PSMC2	NM_002803
PSMC1	NM_002802
PSMB3	NM_002795
PSMB2	NM_002794
PSMB2	NM_001199779
PSMB2	NM_001199780
PSMA3	NM_002788
PSMA3	NR_038123
PSMA3	NM_152132
POLR2F	NM_021974
POLR2D	NM_004805
POLR2A	NM_000937
POLA1	NM_016937
NUP98	NM_005387
NUP98	NM_139132
NUP98	NM_139131
NUP98	NM_016320
NUP93	NM_001242795
NUP93	NM_014669
NUP93	NM_001242796
NUP54	NR_103781
NUP54	NM_001278603
NUP54	NR_103782
NUP54	NR_103780
NUP54	NM_017426
NUP205	NM_015135
NUP133	NM_018230
KPNB1	NM_001276453
KPNB1	NM_002265
COPZ1	NM_016057
COPZ1	NM_001271735
COPZ1	NR_073424
COPZ1	NM_001271734
COPZ1	NM_001271736
COPS8	NM_006710
COPS8	NM_198189
COPS6	NM_006833
COPS4	NM_016129
COPS4	NM_001258006
COPS2	NM_004236
COPS2	NM_001143887
COPB1	NM_001144062
COPB1	NM_016451
COPB1	NM_001144061
COPA	NM_004371
COPA	NM_001098398
CRYGB	NM_005210
KRT77	NM_175078
DMRTB1	NM_033067
POTEA	NM_001005365
POTEA	NM_001002920
NLRP5	NM_153447
VN1R5	NM_173858
OR9Q2	NM_001005283
TAAR8	NM_053278
OR12D2	NM_013936
LUZP4	NM_016383
TGM6	NM_001254734
TGM6	NM_198994
SAGE1	NM_018666
TPH2	NM_173353
LHX5	NM_022363
TAS2R13	NM_023920
VN1R2	NM_173856
DEFB129	NM_080831
RXFP2	NM_130806
RXFP2	NM_001166058
ADH7	NM_000673
ADH7	NM_001166504
DMRTC2	NM_001040283
RNASE9	NM_001110356
RNASE9	NM_001110359
RNASE9	NM_001110357
RNASE9	NM_001110358
RNASE9	NM_001110360
RNASE9	NM_001110361
RNASE9	NM_001001673
ABCG8	NM_022437
PLA2G2E	NM_014589
KRT74	NM_175053
IL22	NM_020525
DPCR1	NM_080870
TAAR1	NM_138327
TAS2R9	NM_023917
CYP7A1	NM_000780
MAGEB3	NM_002365
NPSR1	NM_207172
NPSR1	NM_207173
OLIG2	NM_005806
MRGPRD	NM_198923
CABP5	NM_019855
POU4F2	NM_004575
OR52E8	NM_001005168
TRIM42	NM_152616
OC90	NM_001080399
HTR3D	NM_001163646
HTR3D	NM_182537
HTR3D	NM_001145143
RPTN	NM_001122965
IL1F10	NM_032556
IL1F10	NM_173161
LYZL6	NM_001199951
LYZL6	NM_020426
OTUD6A	NM_207320
KRT25	NM_181534
KRT9	NM_000226
FCRL4	NM_031282
SPATA16	NM_031955
NPHS2	NM_014625
FAM71B	NM_130899
PIWIL3	NR_045648
PIWIL3	NR_045649
PIWIL3	NM_001008496
PIWIL3	NM_001255975
